,Indicative,Sentences in biz,Indicative ADJP - deep extraction,Indicative ADJP - shallow extraction,Manually laballed ADJP
352,TRUE," 

We checked the No Wait to see if there was a wait - but there wasn't so we were able to get seated right away.",so we were able to get seated right away,so we were able to get seated right away,able to get seated right away
353,TRUE,We arrived around 1:45pm and they are open until 3pm - so it wasn't too busy and nice and quiet.,"open until 3 pm, too busy and nice and quiet","open until 3 pm, too busy and nice and quiet","open until 3 pm, wasn't too busy and nice and quiet"
354,FALSE,"

",-,-,
355,FALSE,"I ordered the Mega Berry waffle, my mom ordered the Breakfast Magic, my Dad order a custom waffle with apples and pecans, and we split an order of the home fries.",-,-,
356,FALSE,My mom and I split our waffles down the middle.,-,-,
357,FALSE,"However, I enjoyed my Mega Berry waffle more.",-,-,
358,FALSE,"They also forget to add the whipped cream, but our waitress brought us a side of it.",-,-,
359,TRUE,"They have a loyalty program - so with our visits we were able to get a waffle free or $8.00 taken off the bill.

",program so,program so,
360,,,able to get a waffle free,able to get a waffle free,able to get a waffle free
361,FALSE,Definitely a great loyalty program.,-,-,
362,FALSE,"

I'll be back again soon.",-,-,
363,TRUE,"After being open for a month, obviously still a lot to be improved.",open for a month,open for a month,open for a month
364,FALSE,it took an hour to get food!,-,-,
365,FALSE,"The cappuccino was mostly milk, not even drinkable, blueberries used in waffle were likely canned.",-,-,"not even drinkable, likely canned"
366,FALSE,"""House made syrup"" was just sugar water.",-,-,
367,FALSE,"Eggs and tomatoes were tasty, but not worth the hassles.",-,-,"tasty, not worth the hassles"
368,FALSE," They gave us coupons for free meals at the end because it was such a disaster, but we won't go back.",-,-,
369,TRUE,Also be aware that there is no diaper changing station.,aware that there is no diaper changing station,aware that there is no diaper changing station,aware that there is no diaper changing station
370,FALSE,"Even though it was a small place and busy, we didn't have to wait very long (thanks to the No Wait ap).",-,-,"small, busy"
371,TRUE,The coffee was great and they had a busgirl come by and fill people's cups whenever they were near empty.,near empty,near empty,near empty
372,FALSE,Which was key because the cups were really small.,-,-,really small
373,FALSE,"

I got the eggs benny which comes on half a waffle with ham and crab meat.",-,-,
374,FALSE,"I asked for the waffle to be crispy, but i felt like it still could have been cooked a little more ""burnt.",-,-,"crispy, could have been cooked a little more ""burnt"
375,FALSE,""" It was still good, though.",-,-,still good
376,FALSE,And even though it was small it was still filling.,-,-,"small, still filling"
377,FALSE,"

",-,-,
378,FALSE,"My wife got the BC breakfast, with egg whites, a double order of fruit, blueberry toast, and a salad.",-,-,
379,TRUE,"Her egg whites were a little runny in the middle, but she didn't have the opportunity to send them back because our waitress never came by to ask how everything was.",a little runny in the middle,-,a little runny in the middle
380,FALSE,"Also, I don't think the double fruit was really two orders.",-,-,
381,FALSE,Maybe 1.5 at most.,-,-,
382,FALSE,"

",-,-,
383,FALSE,"We may go back, but wouldn't make a special trip to do so.",-,-,
384,FALSE,This is my first time here.,-,-,
385,FALSE,"

",-,-,
386,FALSE,"It's small, but the use of the space is well thought out.",-,-,"small, well thought out"
387,FALSE, The staff hustles and quickly preps the tables.,-,-,
388,FALSE,"

",-,-,
389,FALSE,"The menu is made up of waffles, omelets and eggs.",-,-,
390,FALSE,"They like to put green onions on EVERYTHING, so be forewarned.",-,-,
391,FALSE,"

I will come back, try something different and review again.",-,-,
392,FALSE,But I will be back.,-,-,
393,FALSE,Decided to try a new place today .,-,-,
394,FALSE,This establishment is run very poorly .,-,-,very poorly
395,FALSE,From the moment I stepped into the restaurant until I left I was very unhappy .,-,-,very unhappy 
396,FALSE,The greeting at the door was very unfriendly .,-,-,very unfriendly
397,TRUE,The waitress took awhile to get our drink orders and seemed bothered to take care of us .,bothered to take care of us,bothered to take care of us,
398,FALSE,Once the food came it was ok,-,-,
399,FALSE,but the atmosphere just made me want to hurry up and get out of here .,-,-,
400,TRUE,This is not a place I would put on my favorite list too pricey for the less than acceptable service .,less than acceptable,less than acceptable,"too pricey, less than acceptable"
401,FALSE,I won't return not worth the aggravation .,-,-,not worth the aggravation
402,FALSE,The waffles are yummy and the service is good.,-,-,"yummy, good"
403,FALSE,Not very crowded during the week.,-,-,Not very crowded
404,FALSE,Try the mega berry waffle!,-,-,
405,FALSE,"Even though it was a small place and busy, we didn't have to wait very long (thanks to the No Wait ap).",-,-,"small, busy"
406,TRUE,The coffee was great and they had a busgirl come by and fill people's cups whenever they were near empty.,near empty,near empty,near empty
407,FALSE,Which was key because the cups were really small.,-,-,really small
408,FALSE,"

I got the eggs benny which comes on half a waffle with ham and crab meat.",-,-,
409,FALSE,"I asked for the waffle to be crispy, but i felt like it still could have been cooked a little more ""burnt.",-,-,"crispy, could have been cooked a little more ""burnt"
410,FALSE,""" It was still good, though.",-,-,still good
411,FALSE,And even though it was small it was still filling.,-,-,"small, still filling"
412,FALSE,"

",-,-,
413,FALSE,"My wife got the BC breakfast, with egg whites, a double order of fruit, blueberry toast, and a salad.",-,-,
414,TRUE,"Her egg whites were a little runny in the middle, but she didn't have the opportunity to send them back because our waitress never came by to ask how everything was.",a little runny in the middle,-,a little runny in the middle
415,FALSE,"Also, I don't think the double fruit was really two orders.",-,-,
416,FALSE,Maybe 1.5 at most.,-,-,
417,TRUE,"The blueberry toast was exciting and different, but lacked flavor.",exciting and different,exciting and different,"exciting and different, lacked flavor"
418,FALSE,"

",-,-,
419,FALSE,"We may go back, but wouldn't make a special trip to do so.",-,-,
420,TRUE,"Great concept, good coffee and always attentive, friendly service.",always attentive,always attentive,always attentive
421,FALSE,Interesting selection of menu choices with sweet and savory selections.,-,-,
422,TRUE,I would like it a lot more with healthy meat options and meat sides.,a lot more with healthy meat options and meat sides,a lot more with healthy meat options and meat sides,a lot more with healthy meat options and meat sides
423,FALSE,This place is delicious!,-,-,delicious
424,TRUE,"I love that they have a gluten free waffle, because gluten free breakfast is hard to find at restaurants.",hard to find at restaurants,hard to find at restaurants,hard to find at restaurants
425,TRUE,The only disappointing thing is how expensive it is.,how expensive,how expensive,how expensive
,,,only disappointing,only disappointing, only disappointing
426,FALSE,Every topping and side costs extra.,-,-,
427,FALSE,The staff is extremely friendly and there is never a wait!,-,-,extremely friendly
428,FALSE,Recommended!,-,-,
429,FALSE,Waffles Incaffinated sounded like a great place to stop in for brunch.,-,-,
430,TRUE,Located in a small strip mall with a small parking lot we were thrilled to find out there was no wait for a table for two.,thrilled to find out,thrilled to find out,
431,FALSE,"I tried the coffee, but had to change it for a water.",-,-,
432,TRUE,"I personally didn't like it, too strong for me.",too strong for me,too strong for me,too strong for me
433,FALSE,I am very picky when it comes to coffee.,-,-,
434,FALSE,We went with a Breakfast Magic and a Funky Monkey waffle.,-,-,
435,FALSE,We were both really happy with them.,-,-,really happy
436,FALSE,Terrific waffles topped with pretty much any and everything under the sun.,-,-,Terrific
437,FALSE,Crisp edges and tender insides that are excellent vehicles for top notch additions.,-,-,"Crisp, tender"
438,FALSE,"The Fubky Monkey had a large dollop of house made peanut butter, bananas, chocolate syrup and a sprinkling of icing sugar.",-,-,large
439,TRUE,"The Breakfast Magic waffle had crispy bacon, shredded cheddar cheese, green onions and 2 medium fried eggs on top.",medium fried,medium fried,medium fried
440,FALSE,Should have drizzled some maple syrup on top but didn't think of it until it was too late.,-,-,
441,FALSE,We thought the idea of a waffle place was great and we will definitely be back.,-,-,great
442,FALSE,10% military discount.,-,-,
443,FALSE,We were also given a pinch card for future visits.,-,-,
444,TRUE,When we saw WI was coming to Wexford we were excited for it to open and try it.,excited for it,excited for it,excited for it
445,FALSE,"Unfortunately, it did not meet our expectations.",-,-,did not meet our expectations
446,TRUE,"

I echo what many others said in the previous reviews: sign is too small (easy to miss), smells gross when you first walk in, slow service, food takes way too long.",way too long,-,way too long
447,FALSE,"

",-,-,
448,FALSE,"However, I disagree on one primary thing.",-,-,
449,FALSE,My husband and I were not impressed with the food.,-,-,not impressed
450,TRUE,It's fair at best.,fair at best,fair at best,fair at best
451,FALSE,"I hate bad service (especially when you have to beg for drinks like we did), but there is no reason to go back when the food is average.",-,-,"bad, average"
452,FALSE,"

I ordered the Southern Breakfast (waffle stuffed (or should I say contains a tiny bit of) with chorizo (Mexican sausage, which I normally love, but it didn't taste like chorizo at all so just call it sausage) and an egg.",-,-,
453,FALSE,It was just ok because it only had a little bit of chorizo and the waffle just was ok.,-,-,
454,FALSE,"

",-,-,
455,FALSE,My husband had the chicken and waffles.,-,-,
456,FALSE,"Everyone raved about it (and he normally loves it), but did not agree.",-,-,
457,FALSE,He thought the chicken was bland (and he likes plain food) and the waffle was just ok.,-,-,
458,FALSE,"

",-,-,
459,FALSE,The only good thing about this experience was the home fries.,-,-,
460,TRUE,"They were very good (a little too salty), but not enough to bring us back.",very good lrb a little too salty rrb but not enough to bring us back,very good lrb a little too salty rrb but not enough to bring us back,very good (a little too salty) but not enough to bring us back
461,TRUE,"

We were happy to have another breakfast spot in Wexford.",happy to have another breakfast spot in wexford,happy to have another breakfast spot in wexford,happy to have another breakfast spot in wexford
462,FALSE,Too bad this place falls way short.,-,-,falls way short
463,FALSE,Hope they get their act together.,-,-,
464,FALSE,"Service was excellent, but crepes were terrible.",-,-,"excellent, terrible"
465,TRUE,Friends got waffles (breakfast magic) that were pretty good but everything was pretty overpriced.,pretty overpriced,pretty overpriced,"pretty good, pretty overpriced"
466,FALSE,Coffee tasted good,-,-,good
467,TRUE,"and it's nice to see a small business being busy, but I'd like to have better quality food that actually comes hot for the price!!",nice to see a small business being busy,nice to see a small business being busy,nice to see a small business being busy
,,,hot for the price,hot for the price,"better quality, comes hot for the price"
468,TRUE,Waffles INCaffeinated is a delightful little spot perfect for a late breakfast on a Saturday.,perfect for a late breakfast on a saturday,perfect for a late breakfast on a saturday,perfect for a late breakfast on a Saturday
469,TRUE,I don't understand for the life of me why people would be willing to wait over 30 minutes for a waffle...,willing to wait over 30 minutes for a waffle,willing to wait over 30 minutes for a waffle,willing to wait 
470,FALSE,that's why I waited a few months after opening before I decided to give this place a try.,-,-,
471,FALSE,"

My wife and I arrived around 9:30am and didn't have much of a wait, although it seemed to fill up quick after we got there.",-,-,
472,FALSE,The ambiance is simple.,-,-,simple
473,FALSE,Nothing really makes it stand out...just seems to feel like your everyday breakfast spot...not super inviting.,-,-,"everyday breakfast spot, not super inviting"
474,TRUE,The menu is a bit intimidating with all of the options.,a bit intimidating with all of the options,a bit intimidating with all of the options,a bit intimidating with all of the options
475,FALSE,I decided to go with the Waffle of the month.,-,-,
476,FALSE,"It was a mocha waffle with white chocolate chips, strawberries and espresso infused whipped cream.",-,-,
477,FALSE,I also had a side of their home fries.,-,-,
478,FALSE,What I loved about this waffle was the flavor...,-,-,
479,FALSE,it's all about the flavors working together people!,-,-,
480,TRUE,I never get too enthused with places like this because the breakfasts seem so decadent,so decadent,so decadent,seem so decadent
481,TRUE,"and I'm afraid the meal will be a ""punch-you-in-the-mouth"" sweetness that will inevitably be cavity inducing.",afraid the meal will be a punch you in the mouth sweetness that will inevitably be cavity inducing,afraid the meal will be a punch you in the mouth sweetness that will inevitably be cavity inducing,"""punch-you-in-the-mouth"", cavity inducing"
482,TRUE,"However, I was so impressed with the flavors in my meal rather than the sweetness.",so impressed with the flavors in my meal rather than the sweetness,so impressed with the flavors in my meal rather than the sweetness,so impressed with the flavors in my meal rather than the sweetness
483,FALSE,I really enjoyed it.,-,-,
484,FALSE,The potatoes were nice too.,-,-,nice
485,FALSE,"

Coffee was good - check
service was good - check
food was good - check

All in all, this place is a winner.",-,-,
486,TRUE,The only thing I didn't like was that it was a little loud and my jacket smelled greasy for a couple days after my visit.,greasy for a couple,greasy for a couple,a little loud
487,FALSE,The food is super tasty!,-,-,super tasty
488,FALSE,I made my own waffle,-,-,
489,FALSE,+ it was cooked to perfection!,-,-,
490,FALSE,I also really liked the coffee.,-,-,
491,TRUE,The wait staff was friendly and even let us stay past closing to finish our coffee + order dessert without making us feel rushed or rude.,rushed or rude,rushed or rude,rushed or rude
492,FALSE,Definitely recommend stopping by if you're in the area!,-,-,
493,FALSE,On my day off from work I figured I would treat myself to some waffles for breakfast!,-,-,
494,FALSE,I have been wanting try waffles incaffeinated for a while now,-,-,
495,FALSE,and when I found out they were putting one in Wexford,-,-,
496,TRUE,I was so excited to try it out.,so excited to try it out,so excited to try it out,so excited to try it out
497,FALSE,"

",-,-,
498,FALSE,"For starters it's located in the plaza next to North Allegheny High School and the sign is a bit hard to see from the road, but it's there I promise.",-,-,a bit hard to see
499,TRUE,I was seated right away and my waitress was extremely friendly and attentive.,extremely friendly and attentive,extremely friendly and attentive,"extremely friendly, attentive"
500,FALSE,"I ordered the mega berry waffle that comes with whipped cream (I told them to hold the whipped cream), powdered sugar, strawberries, blueberries, raspberries and raspberry syrup.",-,-,
501,FALSE,The waffle itself is infused with more berries!,-,-,
502,FALSE,I also added the vanilla bean drizzle which added some additional sweetness.,-,-,some additional
503,FALSE,"Their menu has some other options for those that might not be feeling waffles (omelette, French toast and crepes).",-,-,
504,TRUE,Pricing is pretty fair for the size and amount of food you get!,pretty fair for the size and amount of food,pretty fair for the size and amount of food,pretty fair for the size and amount of food
505,FALSE,"

",-,-,
506,FALSE,Cons: One thing that I can't say I'm a fan of is leaving and smelling like grease.,-,-,
507,FALSE,Yuck!,-,-,
508,TRUE,"Also, the center of the waffle was a bit doughy, but I guess that's expected when you add a lot of fruity toppings.",a bit doughy,a bit doughy,a bit doughy
509,FALSE,"

Other than that I would give this place another go!",-,-,
510,FALSE,Wanted to try this place for a while.,-,-,
511,FALSE,Nothing special.,-,-,
512,FALSE,"The menu is huge which I guess is a good thing, but it's a bit much.",-,-,a bit much
513,FALSE,You can get almost anything on a waffle.,-,-,almost anything
514,FALSE,I had bananas.,-,-,
515,FALSE,It was ok.,-,-,
516,FALSE,They have different syrups to try.,-,-,
517,FALSE,Our waitress was friendly and attentive.,-,-,
518,FALSE,Been there done that.,-,-,
519,FALSE,Don't think we'd be back any time soon unfortunately.,-,-,
520,FALSE,Love this breakfast place!,-,-,
521,FALSE,Their waffles are delish and servers are fast!,-,-,
522,FALSE,My fave breakfast spot in North Hills.,-,-,
523,FALSE,Very good food.,-,-,very good
524,FALSE,But sort of pricey.,-,-,sort of pricey
525,FALSE,First time here and had delightful service.,-,-,delightful service
526,TRUE,The gentleman that waited our table was very nice and quick.,very nice and quick,very nice and quick,very nice and quick
527,FALSE,Lovely experience!,-,-,
528,TRUE,"The food is wonderful but no matter if the place is empty or full, it should not take 45 mins to cook and serve breakfast fare.",empty or full,empty or full,empty or full
529,FALSE," Either they send staff home earlier than they should while they can not handle the workload full staff, or they have managed to make waffles into a 45 min item.",-,-,
530,TRUE, Either way I feel like they push slow to new levels and make me question my future patronage,slow to new levels,slow to new levels,slow to new levels
531,FALSE,Best breakfast in Wexford!,-,-,
532,FALSE,Sausage gravy will never be the same.,-,-,
533,FALSE,Bennys?,-,-,
534,FALSE,Killer!,-,-,
535,FALSE,Potatoes completely reimagined.,-,-,
536,FALSE,And even roast tomatoes on the side.,-,-,
537,FALSE,I was loving it all.,-,-,
538,TRUE,"To top it off, the coffee was robust and flavorful.",robust and flavorful,robust and flavorful,robust and flavorful
539,FALSE,Try a latte or two...,-,-,
540,FALSE,In response to the owners response...,-,-,
541,FALSE,I deleted my original review of the E. Carson downtown location and moved it to the Wexford location which is where I dined.,-,-,
542,FALSE,"We ordered what we wanted, clearly stating a waffle with fried egg on top.",-,-,
543,FALSE,"Never once mentioned ""the carnivore"".",-,-,
544,FALSE,The server placed the order wrong.,-,-,
545,FALSE,You making more excuses for bad service verify's my original 1-star review.,-,-,
546,FALSE,I am clearly within Yelp's guidelines as well,-,-,
547,FALSE,Food was amazing.,-,-,
548,FALSE,"Server was very friendly, but was not very good.",-,-,"verty friendly, very good"
549,FALSE,"The coffee cups are very small, and she was pouring half cups of coffee.",-,-,very small
550,FALSE,The coffee also tasted like bad gas station coffee.,-,-,
551,TRUE,Surprised since breakfast places usually have great coffee.,surprised since breakfast,surprised since breakfast,
552,FALSE,Our food took a really long time and the people next to us waited an hour for food because the server forgot to put in the check.,-,-,really long
553,FALSE,We've all been there.,-,-,
554,FALSE,The checks got messed up and I ended up being charged for double what we owed.,-,-,
555,TRUE,The manager was very nice and did as much as he possible could to fix the situation.,possible could to fix the situation,possible could to fix the situation,
556,FALSE,"So, breakdown....",-,-,
557,FALSE,"foods amazing, service is bad(this time), coffees gross, but the staff is very friendly.",-,-,very friendly
558,FALSE,We will be going back after they get more settled into this new location.,-,-,
559,FALSE,Probably the worst customer service experience I have ever had at a restaurant.,-,-,
560,FALSE,Service was extremely slow.,-,-,extremely slow
561,FALSE,They were busy.,-,-,
562,TRUE,Food was mediocre at best.,mediocre at best,-,mediocre at best
563,FALSE,I've had better Eggo waffles than what we had.,-,-,
564,FALSE,The waffles had absolutely no taste to them.,-,-,absolutely no taste
565,FALSE,It was like eating soggy bread.,-,-,
566,FALSE,We got one refill of coffee while there for an hour.,-,-,
567,TRUE,We each got a half a cup and they were full of grounds.,full of grounds,full of grounds,full of grounds
568,FALSE,"

I would have complained, but there is a story behind that.",-,-,
569,FALSE,One of the servers whacked my wife in the back of the head with a heavy serving plate.,-,-,
570,FALSE,It left a large welt on the back of her head and was very painful.,-,-,very painful
571,FALSE,"When the ""manager"" finally made her way over to us to ""apologize"" once she was done talking to her friends, she left.",-,-,
572,FALSE,"Not that I was looking for anything, but she sent the server over later to tell us she was giving us 10% off our meal because of the trouble.",-,-,
573,FALSE,"

I was more insulted by that, than the accident.",-,-,
574,FALSE,What if this had been a senior citizen or a child.,-,-,
575,TRUE,Maybe you shouldn't seat people behind the serving pick up line where they are in danger.,pick up,pick up,
576,FALSE,"We only think you were a little bit hurt, so here is $3 off.",-,-,a little bit hurt
577,FALSE,We will not return.,-,-,
578,FALSE,"

I did forget to mention that the manager brought us a fruit bowl about 30 minutes later.",-,-,
579,FALSE,"

I did speak with the owner, and he offered us a do-over.",-,-,
580,FALSE,"Over a week has passed, I guess he is not going to follow through on his promises, as the gift certificate he said he would send has not arrived.",-,-,
581,FALSE,This place is OK.,-,-,
582,FALSE,Went with a couple of friends.,-,-,
583,FALSE,Everything on the menu sounds delicious.,-,-,
584,FALSE,My issue is mostly with the speed of service.,-,-,
585,FALSE,"We waited 35 mins to be sat, which was to be expected and didn't bother us.",-,-,
586,FALSE,"However, once we were seated we were given drinks and then basically abandoned.",-,-,
587,TRUE,It was 30 minutes before we were able to order.,able to order,-,able to order
588,FALSE,Then the longest part of the waiting...,-,-,
589,FALSE,40 minutes for our food (all waffles).,-,-,
590,FALSE,"Which even then, wouldn't have been so bad if we didn't have to watch as other parties who were seated after us get fed within 12 mins of placing their order.",-,-,so bad
591,FALSE,"
I got the southern waffle and added avocado.",-,-,
592,FALSE,The batter they are using is great.,-,-,
593,TRUE,The waffle was light and spongy and tasted fresh.,light and spongy,light and spongy,light and spongy
594,FALSE,The portion sizes are small.,-,-,
595,TRUE,"I don't know how every one else feels, but when I think of eating a waffle, I think of being full with yummy syrupy fluffy goodness for a good portion of the day.",full with yummy syrupy fluffy goodness for a good portion of the day,full with yummy syrupy fluffy goodness for a good portion of the day,full with yummy syrupy fluffy goodness for a good portion of the day
596,TRUE,"My check ended up being over $12 for just a waffle (not including tip) and I unfortunately, left the place still hungry.",-,still hungry,still hungry
597,FALSE,"I really expected to love this place, but it just didn't happen.


",-,-,
598,FALSE,Ps.,-,-,
599,FALSE,The owner might want to look into exhaust (installing or repairing) fans above the kitchen area...,-,-,
600,FALSE,our entire party left the place smelling like old grease.,-,-,
601,FALSE,Blechhhh.,-,-,
602,FALSE,My wife and I went to Waffles INC this morning for breakfast.,-,-,
603,FALSE," I ordered eggs over easy, bacon, home fries and toast.",-,-,
604,FALSE, The eggs arrived slimy and floating in a pool of water (literally).,-,-,
605,FALSE, The bacon was flavorless.,-,-,
606,FALSE," The ""house specialty"" home fries were dry and had no seasoning.",-,-,
607,FALSE,"

",-,-,
608,TRUE,This place is noisy and chaotic.,noisy and chaotic,noisy and chaotic,noisy and chaotic
609,FALSE," If you go, check in with their app or you will sit there and watch many customers get seated before you.",-,-,
610,TRUE,"

This place is highly over rated and over priced and is proof of the dearth of good brunch venues in the North Hills.",over rated and over priced,over rated and over priced,over rated and over priced
611,FALSE,I went to Waffles INCaffeinated yesterday (Sunday) for brunch.,-,-,
612,FALSE,"My party included four adults, and two toddlers (in high chairs).",-,-,
613,FALSE," We used the ""no wait"" app to put our name in around 10:25am and received a table at about 11:10am.",-,-,
614,FALSE,"The app makes the whole process easier, however if you show up early, or don't use it at all, there is NO WHERE to wait inside.",-,-,
615,FALSE," Plan to wait in your car, or outside.",-,-,
616,FALSE,  ,-,-,
617,FALSE,We waited several minutes for our drink order to be placed and about 15 more minutes to place our food order.,-,-,
618,FALSE,We finally received our food around 12:30pm.,-,-,
619,TRUE, That was entirely too long to wait.,entirely too long to wait,entirely too long to wait,entirely too long to wait
620,TRUE," When our order finally arrived, everything was correct, but we were all so hungry and cranky that no one cared what the food tasted like by that point.",so hungry and cranky that no one cared what the food tasted like by that point,so hungry and cranky that no one cared what the food tasted like by that point,so hungry and cranky that no one cared what the food tasted like by that point
621,FALSE," Someone needs to go in and evaluate the whole operation, otherwise they won't be around long.",-,-,
622,FALSE,"Also, small minor side note - the ""kids menu"" is not served in a kid friendly way.",-,-,
623,FALSE,They don't have kids cups or plates.,-,-,
624,FALSE, Imagine toddlers trying to use ceramic dishes and coffee cups for their beverage.,-,-,
625,FALSE,Delicious!,-,-,Delicious!
626,FALSE,"We got the chicken and waffles, the sausage and gravy, and the veggie omelet.",-,-,
627,FALSE,Everything was so delicious!,-,-,
628,FALSE,"They have 3 different syrups: vanilla bean, bourbon barrel, and regular.",-,-,
629,FALSE,They are all to die for!,-,-,
630,FALSE,I've been wanting to try this place for a while as I love breakfast food!,-,-,
631,FALSE,"This is a smaller restaurant and we went on a weekday, so it was not very crowded.",-,-,not very crowded
632,FALSE,The waitress was friendly.,-,-,
633,FALSE,"I ordered the make your own waffle with mix-ins of pecans and raspberries, with toppings of cheesecake cream and raspberry sauce.",-,-,
634,FALSE,I also ordered a side of home fries.,-,-,
635,TRUE,"The waffle was crisp and light, and with the compliment of toppings and mix-ins, was not overly sweet.",crisp and light,crisp and light,"crisp and light, not overly sweet"
636,FALSE,"They have a trio of syrups to choose from... maple, bourbon and vanilla bean.",-,-,
637,FALSE,The vanilla bean and maple were tasty; but my husband and I found the bourbon to taste almost medicinal.,-,-,taste almost medicinal
638,TRUE,"The home fries were the star of the meal; a variety of potatoes with peppers and onion, perfectly crisp without being oily.",perfectly crisp without being oily,perfectly crisp without being oily,perfectly crisp without being oily
639,TRUE,They also were very well seasoned... any more and they would have been too salty.,very well seasoned,very well seasoned,"very well seasoned, any more would have been too salty"
,,,any more,any more,
640,FALSE,The food was delicious.,-,-,
641,TRUE,So many different options on the menu it's hard to decide what to get.,hard to decide,hard to decide what to get,hard to decide
642,FALSE,I do recommend looking on Nowait to get yourself in line before you head there,-,-,
643,FALSE,I met a friend at Waffles INCaffeinated for a mid-morning breakfast on a Monday.,-,-,
644,TRUE,It is located in a small strip in Wexford and is deceivingly larger inside compared to how it looks from the exterior.,deceivingly larger inside compared to how it looks from the exterior,deceivingly larger inside compared to how it looks from the exterior,deceivingly larger inside compared to how it looks from the exterior
645,FALSE,"When I arrived, there was plenty of parking and the dining area was not very full.",-,-,not very full
646,FALSE,My friend and I were promptly seated and offered beverages.,-,-,
647,TRUE,Our waitress was friendly and was patient with us as we took our time deciding on what to order.,patient with us,patient with us,patient with us
648,FALSE,"The menu is composed of a variety of unique waffle combinations (DUH), omelettes, breakfast sandwiches, crepes, french toast, and a small selection of side dishes.",-,-,
649,FALSE,"After a long debate, I settled on the Funky Monkey, waffles topped with bananas, chocolate chips, powdered sugar, and a mini Hershey bar.",-,-,
650,FALSE,It was like dessert for breakfast with a banana thrown in the mix!,-,-,
651,FALSE,My friend ordered the Breakfast Magic which was an egg breakfast on top of a waffle!,-,-,
652,FALSE,How creative!,-,-,
653,FALSE, The waffles were huge and thank goodness we had a lot to catch up on or they would have required us to stay longer than we anticipated just to finish our meals.,-,-,
654,FALSE,"

",-,-,
655,TRUE,"Though the food was good and the portions fairly large, the prices were slightly high.",slightly high,slightly high,"fairly large, slightly high"
656,FALSE,I ordered a cup of tea and that alone was $2.,-,-,
657,FALSE,"When returning, I will probably stick with ordering waffles since that is what they are in business for and I can get the other menu items somewhere else for a better price.",-,-,
658,FALSE,"Overall, this was a nice place with a unique twist on breakfast waffles that is worth a try!",-,-,
659,FALSE,"We tried this restaurant for the first time this morning, and even though it is Father's Day my husband and I were seated immediately.",-,-,
660,FALSE,"He got the breakfast tacos after seeing them on the table next to us, and he loved them.",-,-,
661,FALSE,I got the breakfast magic and asked to have avocado added on top.,-,-,
662,FALSE,"Oh my, it was fantastic.",-,-,
663,FALSE,"Unfortunately, it was huge and I had no chance of finishing it successfully.",-,-,
664,FALSE,We will definitely be back.,-,-,
665,FALSE,Terrible......,-,-,
666,FALSE,Do not go!!!!,-,-,
667,FALSE,McDonalds is north just up the road on the same side.,-,-,
668,FALSE,I suggest you go there.,-,-,
669,FALSE,Where to begin.,-,-,
670,FALSE,"Here visiting a friend and they recommended this place and boy howdy, I am not disappointed.",-,-,
671,FALSE,Started off with their Signature Latte and Cappuccino.,-,-,
672,FALSE,It's quite possibly the best sweetest coffee I've ever had.,-,-,quite possibly
673,TRUE,My husband almost went into convulsions because of how sweet it is.,how sweet,how sweet,how sweet
674,FALSE,But I loved it.,-,-,
675,FALSE,I had their sausage gravy waffle and my husband had their Souther waffle.,-,-,
676,FALSE,We both discreetly licked our plates when had no more food to eat.,-,-,
677,FALSE,"Staff was pleasant, no real atmosphere to speak of but who cares when the food is this good.",-,-,
678,TRUE,Glad my diet doesn't start until next week!,glad my diet does not start until next week ,glad my diet does not start until next week ,glad my diet does not start until next week 
679,FALSE,I'll put this on my list of never coming back to.,-,-,
680,FALSE,2nd time I tried it.,-,-,
681,FALSE,"
",-,-,
682,FALSE,Poached eggs poached in oil?,-,-,
683,FALSE,Weird.,-,-,
684,FALSE,I've had poached eggs at over 60+ breakfast places and never have I seen this.,-,-,
685,FALSE,"
Crepes filled with marshmallow fluff (almost non-existent)!",-,-,
686,FALSE,"
",-,-,
687,FALSE,"The waiter had to comment on everything we ordered, coffee we drank, water we drank.",-,-,
688,FALSE,Here is a tip: just wait on people and don't comment on their every move.,-,-,
689,FALSE,We love Waffles INC!  ,-,-,
690,FALSE,We frequented the original in New Brighton years ago and so pleased to see the shops grow all over the Pittsburgh area.,-,-,
691,FALSE," They have great service, pleasant atmosphere and the food is outstanding!",-,-,
692,FALSE, Congrats on your recent opening in Wexford!,-,-,
693,FALSE,Stopped in the new Wexford location on a Saturday morning around 9:30am.,-,-,
694,FALSE," It wasn't packed yet, but by 10:00 there was a line out the door.",-,-,
695,TRUE," The food was absolutely delicious, but lukewarm.",absolutely delicious but lukewarm,absolutely delicious but lukewarm,absolutely delicious but lukewarm
696,FALSE," The coffee mugs are definitely too small (hello, there's a coffee mug in your logo!)",-,-,
697,TRUE,and the waitress was too busy to stop for refills.,too busy to stop for refills,too busy to stop for refills,too busy to stop for refills
698,FALSE," We sat with empty cups for about 20 minutes, finally stopping her as she raced by and asked for the refill.",-,-,
699,FALSE, ,-,-,
700,FALSE,A simple carafe on the table would solve this problem.,-,-,
701,FALSE,"In the end, we only had two small cups of coffee.",-,-,two small cups
702,FALSE,Our food sat under the warmer for at least 10 minutes.,-,-,for at least 1 minutes
703,FALSE,I watched them plate it and then watched it sit there.,-,-,sit there
704,FALSE,"Finally my husband got up and approached the window, asking if we have to take our own food.",-,-,we have to take our own food
705,FALSE," It would behoove the owner to hire some kids from the high school to have them bus, pour coffee, and deliver food.",-,-,
706,FALSE, ,-,-,
